kin E	MS
 391	 1053.85864257812
 392	 1055.28149414062
 393	 1056.69848632812
 394	 1058.10949707031
 395	 1059.51477050781
 396	 1060.9140625
 397	 1062.30749511719
 398	 1063.69494628906
 399	 1065.07666015625
 400	 1066.45251464844
 401	 1067.82250976562
 402	 1069.18664550781
 403	 1070.54504394531
 404	 1071.8974609375
 405	 1073.244140625
 406	 1074.58508300781
 407	 1075.92016601562
 408	 1077.24938964844
 409	 1078.57287597656
 410	 1079.890625
 411	 1081.20251464844
 412	 1082.50866699219
 413	 1083.80908203125
 414	 1085.10375976562
 415	 1086.39270019531
 416	 1087.67590332031
 417	 1088.95336914062
 418	 1090.22509765625
 419	 1091.49108886719
 420	 1092.75146484375
 421	 1094.00610351562
 422	 1095.25500488281
 423	 1096.49829101562
 424	 1097.73583984375
 425	 1098.96765136719
 426	 1100.19396972656
 427	 1101.41455078125
 428	 1102.62951660156
 429	 1103.83874511719
 430	 1105.04248046875
 431	 1106.24047851562
 432	 1107.43298339844
 433	 1108.61975097656
 434	 1109.80102539062
 435	 1110.97668457031
 436	 1112.14660644531
 437	 1113.31115722656
 438	 1114.46997070312
 439	 1115.62329101562
 440	 1116.77111816406
 441	 1117.91333007812
 442	 1119.05004882812
 443	 1120.18115234375
 444	 1121.30676269531
 445	 1122.42687988281
 446	 1123.54138183594
 447	 1124.65051269531
 448	 1125.75415039062
 449	 1126.85217285156
 450	 1127.94482421875
 451	 1129.03198242187
 452	 1130.11364746094
 453	 1131.18981933594
 454	 1132.26049804687
 455	 1133.32580566406
 456	 1134.3857421875
 457	 1135.44018554687
 458	 1136.48913574219
 459	 1137.53271484375
 460	 1138.57092285156
 461	 1139.60375976563
 462	 1140.63110351562
 463	 1141.65307617187
 464	 1142.66967773438
 465	 1143.68103027344
 466	 1144.68688964844
 467	 1145.68737792969
 468	 1146.6826171875
 469	 1147.67248535156
 470	 1148.65698242187
 471	 1149.63610839844
 472	 1150.60998535156
 473	 1151.57849121094
 474	 1152.54174804687
 475	 1153.49975585937
 476	 1154.45239257812
 477	 1155.39978027344
 478	 1156.341796875
 479	 1157.27868652344
 480	 1158.21020507812
 481	 1159.13659667969
 482	 1160.0576171875
 483	 1160.97351074219
 484	 1161.88403320312
 485	 1162.78942871094
 486	 1163.68957519531
 487	 1164.58459472656
 488	 1165.47436523437
 489	 1166.35888671875
 490	 1167.23828125
 491	 1168.11242675781
 492	 1168.9814453125
 493	 1169.84533691406
 494	 1170.7041015625
 495	 1171.5576171875
 496	 1172.40600585937
 497	 1173.24926757812
 498	 1174.08740234375
 499	 1174.92053222656
 500	 1175.74841308594
 501	 1176.5712890625
 502	 1177.38891601562
 503	 1178.20153808594
 504	 1179.00915527344
 505	 1179.81164550781
 506	 1180.60900878906
 507	 1181.4013671875
 508	 1182.18872070312
 509	 1182.97094726562
 510	 1183.74816894531
 511	 1184.52026367187
 512	 1185.28747558594
 513	 1186.04956054687
 514	 1186.80676269531
 515	 1187.55883789062
 516	 1188.30603027344
 517	 1189.04821777344
 518	 1189.78540039062
 519	 1190.517578125
 520	 1191.24487304687
 521	 1191.96716308594
 522	 1192.68444824219
 523	 1193.39685058594
 524	 1194.10437011719
 525	 1194.80688476562
 526	 1195.50451660156
 527	 1196.19714355469
 528	 1196.88500976562
 529	 1197.56787109375
 530	 1198.24584960937
 531	 1198.91906738281
 532	 1199.58728027344
 533	 1200.25073242187
 534	 1200.90930175781
 535	 1201.56286621094
 536	 1202.21179199219
 537	 1202.85571289062
 538	 1203.49499511719
 539	 1204.12927246094
 540	 1204.7587890625
 541	 1205.38354492187
 542	 1206.00354003906
 543	 1206.61865234375
 544	 1207.22900390625
 545	 1207.83459472656
 546	 1208.43530273437
 547	 1209.03137207031
 548	 1209.62268066406
 549	 1210.20922851562
 550	 1210.791015625
 551	 1211.36804199219
 552	 1211.9404296875
 553	 1212.50805664062
 554	 1213.07092285156
 555	 1213.62915039062
 556	 1214.1826171875
 557	 1214.7314453125
 558	 1215.27551269531
 559	 1215.81506347656
 560	 1216.34985351562
 561	 1216.88000488281
 562	 1217.40539550781
 563	 1217.92626953125
 564	 1218.44250488281
 565	 1218.9541015625
 566	 1219.46105957031
 567	 1219.96337890625
 568	 1220.46105957031
 569	 1220.95422363281
 570	 1221.44274902344
 571	 1221.92663574219
 572	 1222.40612792969
 573	 1222.880859375
 574	 1223.35107421875
 575	 1223.81677246094
 576	 1224.27795410156
 577	 1224.73449707031
 578	 1225.18664550781
 579	 1225.63415527344
 580	 1226.0771484375
 581	 1226.51574707031
 582	 1226.94970703125
 583	 1227.37915039062
 584	 1227.80419921875
 585	 1228.22473144531
 586	 1228.64086914062
 587	 1229.05249023437
 588	 1229.45959472656
 589	 1229.8623046875
 590	 1230.26049804687
 591	 1230.65441894531
 592	 1231.04370117187
 593	 1231.4287109375
 594	 1231.80920410156
 595	 1232.18542480469
 596	 1232.55712890625
 597	 1232.92456054687
 598	 1233.28747558594
 599	 1233.64611816406
 600	 1234.00024414062
 601	 1234.35009765625
 602	 1234.69567871094
 603	 1235.03674316406
 604	 1235.37365722656
 605	 1235.7060546875
 606	 1236.03430175781
 607	 1236.35815429687
 608	 1236.67761230469
 609	 1236.99291992187
 610	 1237.30383300781
 611	 1237.61047363281
 612	 1237.91284179687
 613	 1238.2109375
 614	 1238.50476074219
 615	 1238.79431152344
 616	 1239.07958984375
 617	 1239.36071777344
 618	 1239.63757324219
 619	 1239.91015625
 620	 1240.17846679687
 621	 1240.44274902344
 622	 1240.70263671875
 623	 1240.95849609375
 624	 1241.2099609375
 625	 1241.45739746094
 626	 1241.70068359375
 627	 1241.93969726562
 628	 1242.17456054687
 629	 1242.4052734375
 630	 1242.6318359375
 631	 1242.85437011719
 632	 1243.07263183594
 633	 1243.28686523438
 634	 1243.49694824219
 635	 1243.70288085937
 636	 1243.90478515625
 637	 1244.1025390625
 638	 1244.29614257812
 639	 1244.48571777344
 640	 1244.67126464844
 641	 1244.85278320312
 642	 1245.03015136719
 643	 1245.20349121094
 644	 1245.37280273437
 645	 1245.5380859375
 646	 1245.69934082031
 647	 1245.85656738281
 648	 1246.009765625
 649	 1246.15893554687
 650	 1246.30419921875
 651	 1246.44543457031
 652	 1246.58264160156
 653	 1246.71594238281
 654	 1246.84521484375
 655	 1246.97045898437
 656	 1247.09191894531
 657	 1247.20935058594
 658	 1247.32275390625
 659	 1247.43237304687
 660	 1247.53796386719
 661	 1247.63977050781
 662	 1247.73754882812
 663	 1247.83142089844
 664	 1247.92138671875
 665	 1248.00756835937
 666	 1248.08984375
 667	 1248.16821289062
 668	 1248.24267578125
 669	 1248.31335449219
 670	 1248.38012695312
 671	 1248.44311523437
 672	 1248.50219726562
 673	 1248.55749511719
 674	 1248.60900878906
 675	 1248.65661621094
 676	 1248.70056152344
 677	 1248.74060058594
 678	 1248.77685546875
 679	 1248.80932617187
 680	 1248.83801269531
 681	 1248.86291503906
 682	 1248.88415527344
 683	 1248.90161132812
 684	 1248.91528320312
 685	 1248.92517089844
 686	 1248.93139648437
 687	 1248.93395996094
 688	 1248.9326171875
 689	 1248.927734375
 690	 1248.91906738281
 691	 1248.90673828125
 692	 1248.89074707031
 693	 1248.87109375
 694	 1248.84765625
 695	 1248.82067871094
 696	 1248.78991699219
 697	 1248.75561523437
 698	 1248.71765136719
 699	 1248.67602539062
 700	 1248.63073730469
 701	 1248.58190917969
 702	 1248.52941894531
 703	 1248.47338867187
 704	 1248.41369628906
 705	 1248.35046386719
 706	 1248.28356933594
 707	 1248.21313476562
 708	 1248.13916015625
 709	 1248.06164550781
 710	 1247.98046875
 711	 1247.89587402344
 712	 1247.8076171875
 713	 1247.71594238281
 714	 1247.62072753906
 715	 1247.52197265625
 716	 1247.41967773437
 717	 1247.31396484375
 718	 1247.20471191406
 719	 1247.09191894531
 720	 1246.97570800781
 721	 1246.85595703125
 722	 1246.73278808594
 723	 1246.60620117188
 724	 1246.47619628906
 725	 1246.34265136719
 726	 1246.20568847656
 727	 1246.06530761719
 728	 1245.92150878906
 729	 1245.7744140625
 730	 1245.62377929687
 731	 1245.4697265625
 732	 1245.31237792969
 733	 1245.15161132812
 734	 1244.98742675781
 735	 1244.81994628906
 736	 1244.64904785156
 737	 1244.47485351562
 738	 1244.29724121094
 739	 1244.11633300781
 740	 1243.93212890625
 741	 1243.74462890625
 742	 1243.5537109375
 743	 1243.35949707031
 744	 1243.162109375
 745	 1242.96130371094
 746	 1242.75720214844
 747	 1242.54992675781
 748	 1242.33923339844
 749	 1242.12536621094
 750	 1241.90832519531
 751	 1241.68786621094
 752	 1241.46423339844
 753	 1241.23742675781
 754	 1241.00732421875
 755	 1240.77404785156
 756	 1240.53759765625
 757	 1240.2978515625
 758	 1240.05493164062
 759	 1239.80883789062
 760	 1239.5595703125
 761	 1239.30712890625
 762	 1239.05151367187
 763	 1238.79272460937
 764	 1238.53076171875
 765	 1238.26574707031
 766	 1237.99755859375
 767	 1237.72619628906
 768	 1237.45178222656
 769	 1237.17419433594
 770	 1236.89343261719
 771	 1236.60974121094
 772	 1236.32275390625
 773	 1236.03283691406
 774	 1235.73986816406
 775	 1235.44372558594
 776	 1235.14453125
 777	 1234.84228515625
 778	 1234.53698730469
 779	 1234.22875976562
 780	 1233.91735839844
 781	 1233.60302734375
 782	 1233.28564453125
 783	 1232.96520996094
 784	 1232.64184570312
 785	 1232.3154296875
 786	 1231.98608398437
 787	 1231.65368652344
 788	 1231.318359375
 789	 1230.97998046875
 790	 1230.63879394531
 791	 1230.29455566406
 792	 1229.94738769531
 793	 1229.59729003906
 794	 1229.24426269531
 795	 1228.88830566406
 796	 1228.52941894531
 797	 1228.16772460937
 798	 1227.80297851562
 799	 1227.43542480469
 800	 1227.06506347656
 801	 1226.69165039062
 802	 1226.31555175781
 803	 1225.93640136719
 804	 1225.55456542969
 805	 1225.16979980469
 806	 1224.7822265625
 807	 1224.39172363281
 808	 1223.99853515625
 809	 1223.60241699219
 810	 1223.20361328125
 811	 1222.80187988281
 812	 1222.3974609375
 813	 1221.99011230469
 814	 1221.580078125
 815	 1221.16735839844
 816	 1220.75170898437
 817	 1220.33337402344
